Date,Year,Month_Num,Temperature,Temp_Anomaly,CO2_ppm,Sea_Level_mm,Arctic_Ice_km2,Population_B,CO2_Emissions_Gt
1880-01-01,1880,1,13.665464969289696,-0.3345350307103025,288.2216042294773,5.69704492770901,18.369701210203235,1.5097548618288053,0.46562757838946106
1880-02-01,1880,2,14.733595118701626,0.7335951187016256,288.5267645813328,7.372000266723763,19.060078225846848,1.4881440319038373,0.49436404531917494
1880-03-01,1880,3,15.629408637834905,1.6294086378349046,288.4807717775551,11.271884062191114,19.220553207405857,1.496498012113709,0.5175260290587881
1880-04-01,1880,4,15.812767536116668,1.8127675361166684,289.1385341039884,8.006193866067576,19.148072896538288,1.5135969855837792,0.5209961494091478
1880-05-01,1880,5,15.577314425867948,1.5773144258679483,290.38696685753865,4.764601843367458,18.188195132964164,1.490307269822912,0.46737595127944465
1880-06-01,1880,6,14.839342933200594,0.8393429332005944,290.8750887062486,-1.5616422447059892,16.65468907072685,1.5024135760332178,0.524647160850781
1880-07-01,1880,7,13.783065161934095,-0.2169348380659048,291.8540219305292,-2.69638087406109,15.010248820315095,1.4943064574395128,0.5108439858530347
1880-08-01,1880,8,12.815233522733864,-1.1847664772661377,291.7744996658559,-11.721328508570828,13.91035707881398,1.481153721619882,0.5173738430741038
1880-09-01,1880,9,12.16867754799897,-1.8313224520010305,291.7900440058911,-9.06772044028362,13.86292955806045,1.4977683523175354,0.5017962769516061
1880-10-01,1880,10,11.693580852790063,-2.3064191472099367,291.0317936740399,-4.97871857365268,13.512161354396307,1.5077851392714092,0.5285068292058673
1880-11-01,1880,11,12.181085787954244,-1.8189142120457549,290.31820517058725,-2.11230467963165,14.985005198033729,1.5050061553730592,0.5114909788065323
1880-12-01,1880,12,12.851929674152457,-1.148070325847545,289.2015151144599,4.156653842159704,16.281970225161867,1.520728114039505,0.5192837666598892
1881-01-01,1881,1,13.763055991734369,-0.2369440082656329,289.11156343130796,6.193475035796342,18.131170163569454,1.5017730524289044,0.48216803375255224
1881-02-01,1881,2,14.780117923707468,0.7801179237074685,288.6504472498721,7.8527411902058,19.1858957066639,1.5125166750454553,0.5236920522530494
1881-03-01,1881,3,15.619816831452592,1.6198168314525925,288.72105409923,8.802578632004739,19.58670302182922,1.4869440192760666,0.5124909998794107
1881-04-01,1881,4,15.84391633009427,1.8439163300942705,288.70818856739834,10.584793751435836,19.386656870772484,1.5089944778858893,0.5096042306051259
1881-05-01,1881,5,15.611735876032078,1.6117358760320784,290.3317267131832,4.356214347019815,18.33576832258005,1.5118999245981726,0.5446930119601344
1881-06-01,1881,6,14.976808930150291,0.9768089301502912,291.50998365091175,0.2682382686432719,16.74968629666753,1.5077304967556862,0.5248940199086513
1881-07-01,1881,7,13.8482169605584,-0.1517830394416002,291.6206692125449,-4.084776606881209,15.124342459729183,1.5038367084589022,0.5130992188566165
1881-08-01,1881,8,12.788943869211824,-1.211056130788176,291.8149752689596,-9.456754610385724,13.91113330999656,1.4907399098832337,0.49315765359299757
1881-09-01,1881,9,12.191362894342635,-1.808637105657363,291.9813270900062,-9.913701097600752,13.449931656037466,1.4959782170984304,0.4959854728152874
1881-10-01,1881,10,11.870444043350552,-2.1295559566494475,291.38494263927834,-7.1989197274563725,13.873646977359968,1.5124896563294272,0.5109882926675389
1881-11-01,1881,11,12.088652861117149,-1.9113471388828511,290.23168786628645,-4.788174551420767,14.921553837629187,1.5000585081211693,0.5079960224629563
1881-12-01,1881,12,13.06442547205146,-0.9355745279485408,289.2718236525843,3.558605881113428,16.412050515298652,1.5040322884374122,0.5469503385237535
1882-01-01,1882,1,13.649713405352804,-0.350286594647196,289.15117871789704,5.831162408843595,18.333669880970966,1.5005330569694726,0.5079982084446351
1882-02-01,1882,2,14.867770874551784,0.867770874551784,288.6161977569485,5.007052439934938,19.136526769382247,1.502103200417586,0.53343546081903
1882-03-01,1882,3,15.541988079408789,1.541988079408787,288.12926999927436,14.40821998037267,19.261136147067194,1.523042198602305,0.4895023964943153
1882-04-01,1882,4,15.921097909303809,1.921097909303807,289.49609963116166,8.83416760545731,18.779190991812772,1.4972517092287754,0.5089073523751302
1882-05-01,1882,5,15.348714492849393,1.3487144928493926,290.2674460980604,7.93351606589284,17.91213627509599,1.508317549466152,0.49473158344267565
1882-06-01,1882,6,14.941374635365444,0.9413746353654452,291.2242892392038,0.6135744252030002,16.297419552606602,1.5207751551685966,0.5059652718327484
1882-07-01,1882,7,13.819765076176974,-0.1802349238230256,292.20568977628767,-2.741489838802133,14.883834991662138,1.5161633461482058,0.563360263438302
1882-08-01,1882,8,12.776799733564555,-1.2232002664354429,292.45088358878456,-7.956703669372156,13.737881709139451,1.4973736185094286,0.5450111401643679
1882-09-01,1882,9,12.030812564526313,-1.9691874354736871,292.6799099218119,-6.611261829098567,13.295227269011903,1.5174054206174814,0.5234965503041451
1882-10-01,1882,10,11.8084100092317,-2.1915899907683,291.42209819147496,-9.515795300712256,13.721582255624957,1.5112567615067025,0.4971607913360867
1882-11-01,1882,11,12.086278352963792,-1.9137216470362084,290.58020274675795,-3.459538693545643,14.942889322264147,1.5151704667144492,0.5682160078877652
1882-12-01,1882,12,13.026237751854048,-0.9737622481459524,289.5031782176815,0.3748078074532929,16.707798129203194,1.5030540273652884,0.5256322566254737
1883-01-01,1883,1,13.855140112565042,-0.1448598874349578,288.7769016726149,4.733085729721039,17.757521443135374,1.5124199182050928,0.5382877770734945
